TABELA DE VALORES DO BOT TW STORE

SEGUIDORES INSTAGRAM
100 - custo R$ 0,12 | afiliado vende R$ 0,20 | lucro R$ 0,08
200 - custo R$ 0,24 | afiliado vende R$ 0,40 | lucro R$ 0,16
300 - custo R$ 0,35 | afiliado vende R$ 0,50 | lucro R$ 0,15
400 - custo R$ 0,47 | afiliado vende R$ 0,70 | lucro R$ 0,23
500 - custo R$ 0,59 | afiliado vende R$ 0,80 | lucro R$ 0,21
600 - custo R$ 0,71 | afiliado vende R$ 1,00 | lucro R$ 0,29
700 - custo R$ 0,83 | afiliado vende R$ 1,20 | lucro R$ 0,37
800 - custo R$ 0,94 | afiliado vende R$ 1,30 | lucro R$ 0,36
900 - custo R$ 1,06 | afiliado vende R$ 1,50 | lucro R$ 0,44
1.000 - custo R$ 1,18 | afiliado vende R$ 1,60 | lucro R$ 0,42
2.000 - custo R$ 2,36 | afiliado vende R$ 3,20 | lucro R$ 0,84
3.000 - custo R$ 3,54 | afiliado vende R$ 4,80 | lucro R$ 1,26
4.000 - custo R$ 4,72 | afiliado vende R$ 6,40 | lucro R$ 1,68
5.000 - custo R$ 5,90 | afiliado vende R$ 8,00 | lucro R$ 2,10
10.000 - custo R$ 11,80 | afiliado vende R$ 16,00 | lucro R$ 4,20

CURTIDAS INSTAGRAM
100 - custo R$ 0,04 | afiliado vende R$ 0,50 | lucro R$ 0,46
200 - custo R$ 0,08 | afiliado vende R$ 0,50 | lucro R$ 0,42
300 - custo R$ 0,11 | afiliado vende R$ 0,20 | lucro R$ 0,09
400 - custo R$ 0,15 | afiliado vende R$ 0,30 | lucro R$ 0,15
500 - custo R$ 0,19 | afiliado vende R$ 0,30 | lucro R$ 0,11
600 - custo R$ 0,23 | afiliado vende R$ 0,40 | lucro R$ 0,17
700 - custo R$ 0,27 | afiliado vende R$ 0,40 | lucro R$ 0,13
800 - custo R$ 0,30 | afiliado vende R$ 0,50 | lucro R$ 0,20
900 - custo R$ 0,34 | afiliado vende R$ 0,50 | lucro R$ 0,16
1.000 - custo R$ 0,38 | afiliado vende R$ 0,60 | lucro R$ 0,22
2.000 - custo R$ 0,76 | afiliado vende R$ 1,10 | lucro R$ 0,34
3.000 - custo R$ 1,14 | afiliado vende R$ 1,60 | lucro R$ 0,46
4.000 - custo R$ 1,52 | afiliado vende R$ 2,10 | lucro R$ 0,58
5.000 - custo R$ 1,90 | afiliado vende R$ 2,60 | lucro R$ 0,70
10.000 - custo R$ 3,80 | afiliado vende R$ 5,20 | lucro R$ 1,40

VISUALIZAÇÕES INSTAGRAM
100 - custo R$ 0,00 | afiliado vende R$ 0,50 | lucro R$ 0,50
200 - custo R$ 0,00 | afiliado vende R$ 0,50 | lucro R$ 0,50
300 - custo R$ 0,01 | afiliado vende R$ 0,50 | lucro R$ 0,49
400 - custo R$ 0,01 | afiliado vende R$ 0,50 | lucro R$ 0,49
500 - custo R$ 0,01 | afiliado vende R$ 0,50 | lucro R$ 0,49
600 - custo R$ 0,01 | afiliado vende R$ 0,50 | lucro R$ 0,49
700 - custo R$ 0,01 | afiliado vende R$ 0,50 | lucro R$ 0,49
800 - custo R$ 0,02 | afiliado vende R$ 0,50 | lucro R$ 0,48
900 - custo R$ 0,02 | afiliado vende R$ 0,50 | lucro R$ 0,48
1.000 - custo R$ 0,02 | afiliado vende R$ 0,50 | lucro R$ 0,48
2.000 - custo R$ 0,04 | afiliado vende R$ 0,50 | lucro R$ 0,46
3.000 - custo R$ 0,06 | afiliado vende R$ 0,50 | lucro R$ 0,44
4.000 - custo R$ 0,08 | afiliado vende R$ 0,50 | lucro R$ 0,42
5.000 - custo R$ 0,10 | afiliado vende R$ 0,20 | lucro R$ 0,10
10.000 - custo R$ 0,20 | afiliado vende R$ 0,30 | lucro R$ 0,10
